,Unnamed: 0,country,indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,1,ABW,SP.URB.TOTL,41625.0,42025.0,42194.0,42277.0,42317.0,42399.0,42555.0,42729.0,42906.0,43079.0,43206.0,43493.0,43864.0,44228.0,44588.0,44943.0,45297.0,45648.0
1,2,ABW,SP.URB.GROW,1.66422212392663,0.956373099407145,0.401335154395215,0.196517211141057,0.0945693618486456,0.193588048559493,0.367257987480091,0.408048969163451,0.413382967375507,0.402396309678717,0.294373510368369,0.662063111068539,0.849393249627712,0.826413457840807,0.810669184722173,0.793025567597756,0.784578492708788,0.771898934070187
2,3,ABW,SP.POP.TOTL,89101.0,90691.0,91781.0,92701.0,93540.0,94483.0,95606.0,96787.0,97996.0,99212.0,100341.0,101288.0,102112.0,102880.0,103594.0,104257.0,104874.0,105439.0
3,4,ABW,SP.POP.GROW,2.53923444445246,1.76875662143885,1.19471805545637,0.997395547284924,0.900989229759957,1.00307718391638,1.18156554573069,1.22771081489399,1.24139737678817,1.23323132057229,1.13154104048985,0.939355909629835,0.810230587788097,0.749301039347625,0.691615260101675,0.63795916173479,0.590062487333077,0.537295706145068
4,5,AFE,SP.URB.TOTL,115551653.0,119775502.0,124227507.0,128833965.0,133647466.0,138745587.0,144026740.0,149231302.0,155383774.0,161776165.0,168456076.0,175415651.0,182558745.0,190108665.0,198073341.0,206556291.0,215083329.0,223732118.0
5,6,AFE,SP.URB.GROW,3.60226233978761,3.65537739213475,3.7169579134805,3.70808213997242,3.73620496737797,3.81460356307841,3.80635745913851,3.61360813971072,4.1227757967293,4.11393727635938,4.12910702883826,4.13138852884119,4.07209616660715,4.1356112521479,4.1895386514865,4.28273181901848,4.12819089591419,4.02113406009259
6,7,AFE,SP.POP.TOTL,401600588.0,412001885.0,422741118.0,433807484.0,445281555.0,457153837.0,469508516.0,482406426.0,495748900.0,509410477.0,523459657.0,537792950.0,552530654.0,567891875.0,583650827.0,600008150.0,616377331.0,632746296.0
7,8,AFE,SP.POP.GROW,2.5835792421522,2.58996060035651,2.60659802563768,2.617764283814,2.64496843028186,2.66624158730311,2.70252112091536,2.74710885116298,2.76581597609149,2.75574529766985,2.75792914247424,2.73818484544645,2.74040483423965,2.78015724354725,2.7749916302289,2.80258713657233,2.72815977582972,2.65567277976353
8,9,AFG,SP.URB.TOTL,4314700.0,4364773.0,4674867.0,5061866.0,5299549.0,5542073.0,5828215.0,5987030.0,6162823.0,6443215.0,6691382.0,7004588.0,7360701.0,7687539.0,8043935.0,8371880.0,8665979.0,8999963.0
9,10,AFG,SP.URB.GROW,1.86137729962901,1.15383861520503,6.86345297807244,7.95344768841497,4.58865325754718,4.47468958963317,5.03421600301046,2.68846842633562,2.89394890008399,4.44926873597444,3.77927906385172,4.57449331406255,4.95898098432825,4.34455335199728,4.53176850303214,3.99600796676125,3.45264290630202,3.7815566165204
10,11,AFG,SP.POP.TOTL,19542982.0,19688632.0,21000256.0,22645130.0,23553551.0,24411191.0,25442944.0,25903301.0,26427199.0,27385307.0,28189672.0,29249157.0,30466479.0,31541209.0,32716210.0,33753499.0,34636207.0,35643418.0
11,12,AFG,SP.POP.GROW,1.4438030241194,0.742516834396313,6.44932147797304,7.54101896480183,3.93317768847308,3.57650800354462,4.13967803534352,1.79319572747206,2.00233326232255,3.56128837446668,2.89490410370988,3.68950830230738,4.07762772858795,3.46678830410982,3.65757606530364,3.12134122890873,2.58154939895659,2.86649214750073
